0,1,2,3,4,5,6,7,8,9,10
265.0,270.84006855288123,270.89960029419797,270.89992729423017,270.8999285674794,270.8999285714174,270.8999285714277,270.8999285714277,270.8999285714277,270.8999285714277,270.8999285714286
265.0,270.83612335175434,270.8995568826907,270.8999270404717,270.8999285664323,270.8999285714139,270.89992857142767,270.89992857142767,270.89992857142767,270.89992857142767,270.8999285714286
265.0,270.83218354287,270.89951082231914,270.89992675539787,270.89992856519075,270.8999285714096,270.8999285714276,270.8999285714276,270.8999285714276,270.8999285714276,270.8999285714286
265.0,270.82824911699817,270.89946212040286,270.89992643723565,270.8999285637322,270.8999285714043,270.89992857142755,270.89992857142755,270.89992857142755,270.89992857142755,270.8999285714286
265.0,270.8243200649268,270.89941078424374,270.8999260842196,270.899928562033,270.8999285713978,270.89992857142744,270.8999285714275,270.8999285714275,270.8999285714275,270.8999285714286
265.0,270.8203963774613,270.8993568211263,270.89992569459156,270.8999285600682,270.89992857139,270.8999285714273,270.89992857142744,270.89992857142744,270.89992857142744,270.8999285714286
265.0,270.8164780454251,270.89930023831715,270.89992526660075,270.8999285578119,270.8999285713806,270.8999285714272,270.8999285714274,270.8999285714274,270.8999285714274,270.8999285714286
265.0,270.81256505965894,270.8992410430658,270.89992479850383,270.89992855523695,270.8999285713695,270.8999285714271,270.8999285714273,270.8999285714273,270.8999285714273,270.8999285714286
265.0,270.8086574110215,270.8991792426041,270.8999242885648,270.899928552315,270.8999285713564,270.899928571427,270.89992857142727,270.89992857142727,270.89992857142727,270.8999285714286
265.0,270.8047550903887,270.89911484414654,270.89992373505504,270.89992854901647,270.899928571341,270.89992857142687,270.8999285714272,270.8999285714272,270.8999285714272,270.8999285714286
265.0,270.8008580886543,270.8990478548903,270.8999231362531,270.8999285453109,270.89992857132313,270.89992857142676,270.89992857142715,270.89992857142715,270.89992857142715,270.8999285714286
265.0,270.7969663967293,270.89897828201515,270.8999224904449,270.89992854116645,270.8999285713024,270.8999285714266,270.8999285714271,270.8999285714271,270.8999285714271,270.8999285714286
265.0,270.79308000554227,270.89890613268363,270.89992179592366,270.89992853655025,270.8999285712785,270.8999285714264,270.89992857142704,270.89992857142704,270.89992857142704,270.8999285714286
265.0,270.78919890603913,270.8988314140411,270.89992105098975,270.89992853142826,270.89992857125117,270.89992857142624,270.899928571427,270.899928571427,270.899928571427,270.8999285714286
265.0,270.7853230891831,270.8987541332157,270.8999202539507,270.8999285257654,270.89992857121996,270.899928571426,270.8999285714269,270.8999285714269,270.8999285714269,270.8999285714286
265.0,270.7814525459548,270.8986742973182,270.89991940312143,270.8999285195254,270.8999285711845,270.8999285714258,270.89992857142687,270.89992857142687,270.89992857142687,270.8999285714286
265.0,270.77758726735203,270.89859191344266,270.89991849682383,270.89992851267095,270.89992857114436,270.8999285714255,270.8999285714268,270.8999285714268,270.8999285714268,270.8999285714286
265.0,270.77372724439,270.8985069886657,270.89991753338705,270.8999285051636,270.8999285710991,270.8999285714252,270.89992857142676,270.89992857142676,270.89992857142676,270.8999285714286
265.0,270.769872468101,270.898419530047,270.89991651114735,270.89992849696375,270.8999285710483,270.8999285714249,270.8999285714267,270.8999285714267,270.8999285714267,270.8999285714286
265.0,270.76602292953464,270.89832954462935,270.899915428448,270.89992848803087,270.89992857099145,270.89992857142454,270.89992857142664,270.89992857142664,270.89992857142664,270.8999285714286
265.0,270.7621786197575,270.89823703943847,270.8999142836395,270.8999284783232,270.89992857092795,270.89992857142414,270.8999285714266,270.8999285714266,270.8999285714266,270.8999285714286
265.0,270.7583395298534,270.8981420214832,270.89991307507927,270.8999284677981,270.89992857085736,270.8999285714237,270.8999285714265,270.8999285714265,270.8999285714265,270.8999285714286
265.0,270.754505650923,270.89804449775545,270.8999118011318,270.89992845641166,270.899928570779,270.8999285714232,270.89992857142647,270.89992857142647,270.89992857142647,270.8999285714286
265.0,270.75067697408434,270.89794447523036,270.89991046016866,270.89992844411904,270.89992857069234,270.8999285714226,270.8999285714264,270.8999285714264,270.8999285714264,270.8999285714286
265.0,270.7468534904722,270.8978419608663,270.8999090505683,270.8999284308742,270.89992857059667,270.899928571422,270.89992857142636,270.89992857142636,270.89992857142636,270.8999285714286
265.0,270.74303519123833,270.8977369616048,270.89990757071627,270.8999284166302,270.89992857049134,270.8999285714213,270.8999285714263,270.8999285714263,270.8999285714263,270.8999285714286
265.0,270.7392220675515,270.89762948437067,270.89990601900496,270.89992840133897,270.89992857037566,270.8999285714205,270.89992857142624,270.89992857142624,270.89992857142624,270.8999285714286
265.0,270.7354141105974,270.8975195360721,270.8999043938337,270.89992838495147,270.8999285702489,270.89992857141965,270.8999285714262,270.8999285714262,270.8999285714262,270.8999285714286
265.0,270.7316113115785,270.8974071236006,270.8999026936088,270.8999283674177,270.8999285701102,270.8999285714187,270.89992857142613,270.89992857142613,270.89992857142613,270.8999285714286
265.0,270.72781366171404,270.8972922538311,270.8999009167434,270.89992834868644,270.89992856995883,270.89992857141766,270.8999285714261,270.8999285714261,270.8999285714261,270.8999285714286
265.0,270.7240211522402,270.8971749336219,270.89989906165744,270.8999283287056,270.89992856979393,270.8999285714165,270.899928571426,270.899928571426,270.899928571426,270.8999285714286
265.0,270.7202337744098,270.8970551698149,270.8998971267778,270.89992830742193,270.89992856961464,270.8999285714153,270.89992857142596,270.89992857142596,270.89992857142596,270.8999285714286
265.0,270.71645151949235,270.8969329692354,270.89989511053807,270.89992828478137,270.89992856942007,270.8999285714139,270.8999285714259,270.8999285714259,270.8999285714259,270.8999285714286
265.0,270.7126743787742,270.8968083386924,270.89989301137877,270.8999282607288,270.8999285692092,270.8999285714124,270.89992857142585,270.89992857142585,270.89992857142585,270.8999285714286
